7/5/2015 18:01:35,6/10/2015,3:55:00 PM,4:20:00 PM,No,Mrak Hall - 21
7/5/2015 18:05:30,6/10/2015,4:50:00 PM,5:05:00 PM,No,Mrak Hall - 21
7/5/2015 18:06:04,6/10/2015,8:40:00 AM,9:00:00 AM,No,Mrak Hall - 21
7/5/2015 18:06:29,6/11/2015,10:15:00 AM,10:40:00 AM,No,Mrak Hall - 21
7/5/2015 18:06:54,6/11/2015,11:40:00 AM,11:55:00 AM,No,Mrak Hall - 21
6/23/2015 8:58:02,10/20/2014,9:20:00 AM,,Unknown,Student Community Center - 30
6/23/2015 8:58:30,10/20/2014,12:00:00 PM,,Unknown,Student Community Center - 30
6/23/2015 8:59:06,10/20/2014,2:17:00 PM,,Unknown,Student Community Center - 30
6/23/2015 8:59:39,10/20/2014,4:00:00 PM,,Unknown,Student Community Center - 30
6/23/2015 9:00:33,10/21/2014,11:00:00 AM,,Unknown,Student Community Center - 30
6/23/2015 9:01:15,10/22/2014,2:30:00 PM,,Unknown,Student Community Center - 30
6/23/2015 9:02:39,10/23/2014,9:30:00 AM,,Unknown,Student Community Center - 30
6/23/2015 9:03:25,10/23/2014,1:00:00 PM,,Unknown,Student Community Center - 30
6/23/2015 9:04:16,10/24/2014,1:30:00 PM,,Unknown,Student Community Center - 30
6/23/2015 9:05:19,10/27/2014,11:00:00 AM,,Unknown,Student Community Center - 30
6/23/2015 9:06:28,10/28/2014,10:30:00 AM,,Unknown,Student Community Center - 30
6/23/2015 9:08:37,10/29/2014,9:15:00 AM,,Unknown,Student Community Center - 30
6/23/2015 9:11:39,10/29/2014,12:30:00 PM,,Unknown,Student Community Center - 30
6/23/2015 9:12:27,10/29/2014,1:20:00 PM,,Unknown,Student Community Center - 30
6/23/2015 9:12:55,10/29/2014,4:30:00 PM,,Unknown,Student Community Center - 30
6/23/2015 9:14:12,10/30/2014,10:20:00 AM,,Unknown,Student Community Center - 30
6/23/2015 9:15:35,10/30/2014,1:15:00 PM,,Unknown,Student Community Center - 30
6/23/2015 9:20:46,11/3/2014,12:00:00 PM,,Unknown,Student Community Center - 30
6/23/2015 9:22:06,11/4/2014,11:30:00 AM,,Unknown,Student Community Center - 30
6/23/2015 9:22:43,11/5/2014,9:45:00 AM,,Unknown,Student Community Center - 30
6/23/2015 9:23:17,11/5/2014,1:00:00 PM,,Unknown,Student Community Center - 30
6/23/2015 9:24:20,11/5/2014,3:00:00 PM,,Unknown,Student Community Center - 30
6/23/2015 9:34:42,11/6/2014,9:48:00 AM,,Unknown,Student Community Center - 30
6/23/2015 9:36:05,11/6/2014,10:15:00 AM,,Unknown,Student Community Center - 30
6/23/2015 9:37:50,11/6/2014,11:25:00 AM,,Unknown,Student Community Center - 30
6/23/2015 9:40:16,11/6/2014,4:10:00 PM,,Unknown,Student Community Center - 30
6/23/2015 9:42:48,11/10/2014,12:15:00 PM,,Unknown,Student Community Center - 30
6/23/2015 9:43:46,11/10/2014,4:30:00 PM,,Unknown,Student Community Center - 30
6/23/2015 9:48:08,11/12/2014,4:30:00 PM,,Unknown,Student Community Center - 30
6/23/2015 9:50:03,11/13/2014,11:20:00 AM,,Unknown,Student Community Center - 30
6/23/2015 9:51:40,11/13/2014,3:20:00 PM,,Unknown,Student Community Center - 30
6/23/2015 9:44:35,11/15/2014,12:15:00 PM,,Unknown,Student Community Center - 30
6/23/2015 10:03:01,11/17/2014,10:30:00 AM,,Unknown,Student Community Center - 30
6/23/2015 10:03:45,11/17/2014,11:00:00 AM,,Unknown,Student Community Center - 30
6/23/2015 10:04:22,11/17/2014,3:55:00 PM,,Unknown,Student Community Center - 30
6/23/2015 10:05:52,11/18/2014,9:40:00 AM,,Unknown,Student Community Center - 30
6/23/2015 10:06:44,11/19/2014,10:30:00 AM,,Unknown,Student Community Center - 30
6/23/2015 10:07:28,11/19/2014,11:45:00 AM,,Unknown,Student Community Center - 30
6/23/2015 10:08:31,11/19/2014,4:05:00 PM,,Unknown,Student Community Center - 30
6/23/2015 10:09:14,11/20/2014,10:30:00 AM,,Unknown,Student Community Center - 30
6/23/2015 10:11:03,11/20/2014,11:15:00 AM,,Unknown,Student Community Center - 30
6/23/2015 10:16:00,11/24/2014,10:20:00 AM,,Unknown,Student Community Center - 30
6/23/2015 10:19:02,11/24/2014,3:10:00 PM,,Unknown,Student Community Center - 30
6/23/2015 10:20:09,12/1/2014,9:30:00 AM,,Unknown,Student Community Center - 30
6/23/2015 11:28:33,12/1/2014,10:45:00 AM,,Unknown,Student Community Center - 30
6/23/2015 11:29:00,12/1/2014,1:35:00 PM,,Unknown,Student Community Center - 30
6/23/2015 11:29:35,12/1/2014,4:10:00 PM,,Unknown,Student Community Center - 30
6/25/2015 11:03:13,12/2/2014,9:30:00 AM,,Unknown,Student Community Center - 30
6/25/2015 11:03:37,12/2/2014,12:30:00 PM,,Unknown,Student Community Center - 30
6/25/2015 11:13:19,12/2/2014,4:30:00 PM,,Unknown,Student Community Center - 30
6/25/2015 11:13:59,12/3/2014,10:00:00 AM,,Unknown,Student Community Center - 30
6/25/2015 11:14:42,12/3/2014,10:30:00 AM,,Unknown,Student Community Center - 30
6/25/2015 11:22:36,12/3/2014,12:45:00 PM,,Unknown,Student Community Center - 30
6/25/2015 11:29:24,12/3/2014,1:25:00 PM,,Unknown,Student Community Center - 30
6/25/2015 11:30:17,12/3/2014,4:45:00 PM,,Unknown,Student Community Center - 30
6/25/2015 11:31:27,12/4/2014,10:30:00 AM,,Unknown,Student Community Center - 30
6/25/2015 11:32:15,12/4/2014,2:40:00 PM,,Unknown,Student Community Center - 30
6/25/2015 11:32:47,12/9/2014,10:00:00 AM,,Unknown,Student Community Center - 30
6/25/2015 11:33:18,12/9/2014,4:00:00 PM,,Unknown,Student Community Center - 30
6/25/2015 11:36:33,12/11/2014,10:00:00 AM,,Unknown,Student Community Center - 30
6/25/2015 11:37:05,12/11/2014,10:50:00 AM,,Unknown,Student Community Center - 30
6/25/2015 11:37:36,12/15/2014,9:45:00 AM,,Unknown,Student Community Center - 30
6/25/2015 11:42:48,12/16/2014,11:15:00 AM,,Unknown,Student Community Center - 30
6/25/2015 11:43:55,12/16/2014,2:30:00 PM,,Unknown,Student Community Center - 30
6/25/2015 11:44:58,12/16/2014,4:15:00 PM,,Unknown,Student Community Center - 30
6/25/2015 11:46:45,1/5/2015,11:20:00 AM,,Unknown,Student Community Center - 30
6/25/2015 11:47:06,1/5/2015,3:10:00 PM,,Unknown,Student Community Center - 30
6/25/2015 11:47:33,1/7/2015,1:20:00 PM,,Unknown,Student Community Center - 30
6/25/2015 11:47:53,1/7/2015,3:00:00 PM,,Unknown,Student Community Center - 30
6/25/2015 11:49:19,1/8/2015,9:30:00 AM,,Unknown,Student Community Center - 30
6/25/2015 11:49:44,1/9/2015,9:30:00 AM,,Unknown,Student Community Center - 30
6/25/2015 11:50:19,1/9/2015,12:30:00 PM,,Unknown,Student Community Center - 30
6/25/2015 11:52:56,1/9/2015,4:30:00 PM,,Unknown,Student Community Center - 30
6/25/2015 11:53:43,1/12/2015,10:30:00 AM,,Unknown,Student Community Center - 30
6/25/2015 11:55:17,1/12/2015,4:00:00 PM,,Unknown,Student Community Center - 30
6/25/2015 11:54:54,1/14/2015,9:30:00 AM,,Unknown,Student Community Center - 30
6/25/2015 11:55:57,1/14/2015,12:50:00 PM,,Unknown,Student Community Center - 30
6/25/2015 11:56:44,1/14/2015,4:05:00 PM,,Unknown,Student Community Center - 30
6/25/2015 11:57:44,1/20/2015,10:00:00 AM,,Unknown,Student Community Center - 30
6/25/2015 11:58:11,1/23/2015,11:20:00 AM,,Unknown,Student Community Center - 30
6/25/2015 11:59:02,1/27/2015,1:55:00 PM,,Unknown,Student Community Center - 30
6/25/2015 11:59:25,1/28/2015,9:30:00 AM,,Unknown,Student Community Center - 30
6/25/2015 11:59:48,1/29/2015,2:45:00 PM,,Unknown,Student Community Center - 30
6/25/2015 12:00:34,5/27/2015,12:40:00 PM,,Unknown,Student Community Center - 30
6/25/2015 12:01:11,6/3/2015,12:40:00 PM,,Unknown,Student Community Center - 30
6/23/2015 9:16:24,10/30/2015,4:15:00 PM,,Unknown,Student Community Center - 30
6/23/2015 9:17:34,11/3/2015,11:00:00 AM,,Unknown,Student Community Center - 30
6/25/2015 16:05:14,6/2/2014,10:15:00 AM,10:45:00 AM,Unknown,Segundo - 27
6/25/2015 15:47:46,5/19/2014,10:50:00 AM,11:10:00 AM,Unknown,Segundo - 27
6/25/2015 15:49:13,5/19/2014,1:00:00 PM,1:15:00 PM,Unknown,Segundo - 27
6/25/2015 15:49:51,5/19/2014,3:10:00 PM,3:35:00 PM,Unknown,Segundo - 27
6/25/2015 15:50:22,5/19/2014,4:00:00 PM,4:29:00 PM,Unknown,Segundo - 27
6/25/2015 15:51:09,5/20/2014,10:40:00 AM,11:10:00 AM,Unknown,Segundo - 27
6/25/2015 15:51:56,5/20/2014,11:28:00 AM,11:49:00 AM,Unknown,Segundo - 27
6/25/2015 15:52:33,5/20/2014,2:50:00 PM,3:15:00 PM,Unknown,Segundo - 27
6/25/2015 15:53:56,5/20/2014,4:05:00 PM,4:30:00 PM,Unknown,Segundo - 27
6/25/2015 15:54:36,5/21/2014,11:35:00 AM,11:50:00 AM,Unknown,Segundo - 27
6/25/2015 15:56:46,5/21/2014,12:40:00 PM,1:00:00 PM,Unknown,Segundo - 27
6/25/2015 15:57:27,5/22/2014,10:30:00 AM,11:00:00 AM,Unknown,Segundo - 27
6/25/2015 15:58:06,5/22/2014,3:00:00 PM,3:20:00 PM,Unknown,Segundo - 27
6/25/2015 15:58:53,5/23/2014,12:38:00 PM,12:55:00 PM,Unknown,Segundo - 27
6/25/2015 16:00:05,5/27/2014,10:30:00 AM,11:00:00 AM,Unknown,Segundo - 27
6/25/2015 16:00:54,5/27/2014,11:37:00 AM,12:03:00 PM,Unknown,Segundo - 27
6/25/2015 16:01:24,5/27/2014,2:30:00 PM,3:00:00 PM,Unknown,Segundo - 27
6/25/2015 16:02:26,5/27/2014,3:38:00 PM,4:00:00 PM,Unknown,Segundo - 27
6/25/2015 15:59:25,5/28/2014,12:45:00 PM,1:05:00 PM,Unknown,Segundo - 27
6/25/2015 16:02:55,5/28/2014,1:00:00 PM,1:15:00 PM,Unknown,Segundo - 27
6/25/2015 16:03:30,5/28/2014,4:14:00 PM,4:35:00 PM,Unknown,Segundo - 27
6/25/2015 16:04:09,5/29/2014,11:00:00 AM,11:30:00 AM,Unknown,Segundo - 27
6/25/2015 16:04:42,5/30/2014,12:48:00 PM,1:05:00 PM,Unknown,Segundo - 27
6/25/2015 16:05:45,6/2/2014,11:30:00 AM,11:48:00 AM,Unknown,Segundo - 27
6/25/2015 16:39:23,6/2/2014,12:55:00 PM,1:08:00 PM,Unknown,Segundo - 27
6/25/2015 16:39:59,6/3/2014,10:30:00 AM,11:00:00 AM,Unknown,Segundo - 27
6/25/2015 16:41:03,6/3/2014,11:45:00 AM,12:10:00 PM,Unknown,Segundo - 27
6/25/2015 16:41:45,6/3/2014,4:38:00 PM,4:55:00 PM,Unknown,Segundo - 27
6/25/2015 16:42:25,6/4/2014,11:28:00 AM,11:51:00 AM,Unknown,Segundo - 27
6/25/2015 16:43:02,6/4/2014,12:45:00 PM,1:06:00 PM,Unknown,Segundo - 27
6/25/2015 16:43:39,6/4/2014,4:00:00 PM,4:25:00 PM,Unknown,Segundo - 27
6/25/2015 16:48:42,6/6/2014,10:15:00 AM,10:45:00 AM,Unknown,Segundo - 27
6/25/2015 16:49:16,6/6/2014,2:30:00 PM,3:00:00 PM,Unknown,Segundo - 27
6/25/2015 16:50:24,6/8/2014,10:00:00 AM,10:28:00 AM,Unknown,Segundo - 27
6/25/2015 16:51:24,6/8/2014,1:45:00 PM,2:00:00 PM,Unknown,Segundo - 27
6/25/2015 16:51:48,6/9/2014,10:00:00 AM,10:30:00 AM,Unknown,Segundo - 27
6/25/2015 16:52:24,6/9/2014,11:25:00 AM,11:51:00 AM,Unknown,Segundo - 27
6/25/2015 16:53:34,6/9/2014,2:00:00 PM,2:30:00 PM,Unknown,Segundo - 27
6/25/2015 16:54:05,6/9/2014,4:30:00 PM,4:48:00 AM,Unknown,Segundo - 27
6/25/2015 16:54:47,6/9/2014,7:10:00 PM,7:30:00 PM,Unknown,Segundo - 27
6/25/2015 16:55:29,6/10/2014,9:05:00 AM,9:18:00 AM,Unknown,Segundo - 27
6/25/2015 16:56:06,6/10/2014,10:15:00 AM,10:45:00 AM,Unknown,Segundo - 27
6/25/2015 16:56:37,6/10/2014,11:15:00 AM,11:35:00 AM,Unknown,Segundo - 27
6/25/2015 16:57:40,6/10/2014,12:00:00 PM,12:10:00 PM,Unknown,Segundo - 27
6/25/2015 16:58:09,6/10/2014,2:00:00 PM,2:15:00 PM,Unknown,Segundo - 27
6/25/2015 16:58:39,6/10/2014,2:30:00 PM,3:00:00 PM,Unknown,Segundo - 27
